code,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth (annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs),Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.869,93.7927,97.5435,,95.5701,,,3.94,,,,96.8226,99.9221,111.16,1.0176,,,93.5425,,,,,,,,,,0.39166999999999996,,,,,,,,,,,,,,,,,0,0.0
AFG,,20.2,0.498,2.66,,64.1,1919.0,1.5,10.3,184.0,3.8,24.0,11.0,8.5,79.3,26.3,5.0,6.0,-2.78,-1.3,-1.3,-1.57,-1.52,28.2,26.2,17.9,91.8,51.3,10.0,27.7,32.96,41.5,29.45,27.95,58.67,47.13,32.54,27.66,36.56,43.59,13.97,23.68,40.42,39.1,27.0,5.27,23.0,430.029,70.4,52.373000000000005,240.03599999999997,62.9802,12.1994,39.2204,18.4815,84.1371,,262.673,6.55,0.506536,5.0,59.1409,31.7411,,55.1109,0.57123,0.353426,62.3354,10.5957,0.42373,55.2,13.5277,1170.2,32.251999999999995,1.09828,207.655,0.0,572.104,0.10439200000000001,12.0,0.610622,1.95671,0.194659,2.01492,71.2,17.0,44.9,15.0,3.2804000377655,8.1,0.976909,1.0876700000000001,2.26615,0.28,0.98,0,0.0
AGO,42.7,,0.581,,28.4,187.3,6844.0,3.0,2.9,196.0,,,10.0,6.6,69.1,32.1,6.0,6.0,-0.29,-1.0,-1.0,-1.1,-1.41,25.4,18.9,36.0,82.4,48.6,40.0,38.2,39.1,45.68,40.86,30.76,68.48,32.3,43.77,38.18,44.29,32.7,40.55,45.92,53.32,30.98,29.69,9.04,14.0,173.773,82.5,29.506,447.301,41.0059,29.271,39.4294,56.2542,40.5206,1.7145,81.7802,9.65,0.390027,5.0,25.9785,66.0301,80.9996,26.6794,0.6288600000000001,0.677431,45.1217,13.0,0.44068,27.8875,16.6873,465.38199999999995,45.981,0.885475,75.313,0.0,936.456,5.8038300000000005,10.0,0.542712,2.77724,0.460975,3.23351,51.9,36.0,27.5,19.0,12.626999855041499,7.2,2.26632,0.657543,0.8736079999999999,,5.31,0,0.0
AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2167,98.2167,96.9178,,,,,27.66,,,,,,,,,,81.57,,,,,,,,,,7.22432,,,,,,,,,,,,,,,,,0,0.0
ALB,29.0,36.8,0.785,4.64,53.1,34.2,11840.0,2.6,6.8,774.0,,,16.0,16.3,72.7,30.1,3.0,3.0,0.4,0.1,0.2,-0.4,-0.42,25.4,39.9,54.1,85.1,64.5,70.0,27.9,71.77,84.59,80.77,49.94,91.66,92.97,83.7,70.02,89.07,82.09,67.92,83.99,83.94,49.46,47.94,18.44,4.9,8.797,13.5,21.525,17.5533,91.3943,85.973,97.6907,0.46913,100.0,4.60736,28.4303,2.28,0.9536870000000001,4.0,8.773060000000001,97.24700000000001,99.2955,94.9814,0.92999,2.16907,115.152,66.3634,0.64407,93.8333,21.8489,333.233,67.08800000000001,2.57808,38.9106,80.73,291.897,16.0583,28.0,0.805531,3.66722,0.8709120000000001,4.36906,57.0,7.0,30.0,38.0,12.521400451660199,4.2,2.12918,1.54811,2.73706,0.07,12.26,0,0.0
AND,,,0.858,,,,,,12.0,5949.0,3.0,,,,,,1.0,1.0,1.45,1.9,1.2,1.6,1.24,,,,,,,32.1,,,,,,100.0,,,,,,,,,,,,4.206,2.7,1.114,22.5445,100.0,100.0,100.0,0.0,100.0,,0.37419600000000003,1.21,,,4.82265,100.0,,,,,92.0433,97.9306,0.44068,,25.0699,206.608,81.197,,14.5398,,,17.0,39.0,,,,,,,,,,,,,,,15.13,0,0.0
ARE,,,0.863,7.04,70.4,668.9,67871.0,3.9,3.5,2426.0,,,,3.7,70.9,31.2,7.0,6.0,0.63,1.4,1.0,0.8,1.13,83.4,77.3,76.3,98.4,77.6,60.0,22.5,74.34,88.65,79.16,55.2,95.05,98.17,97.37,64.03,91.41,90.05,62.83,72.33,54.72,78.6,48.1,39.39,3.8,10.379000000000001,7.7,10.718,43.6661,99.6308,,99.9772,0.0,100.0,6.51996,0.635454,0.66,0.852276,2.0,53.6995,,99.4472,95.8051,0.9427200000000001,3.1189999999999998,214.735,90.6,0.7457600000000001,,20.3345,428.733,66.068,2.61968,93.6991,96.87,380.80199999999996,12.2269,5.0,0.43718999999999997,3.43709,0.599654,3.12522,0.9,7.0,60.9,71.0,,3.1,1.42074,2.57444,1.37471,0.43,13.18,8,20.0
ARG,41.7,35.2,0.825,6.04,57.3,874.1,20048.0,1.2,2.9,1390.0,5.4,657.0,17.0,6.6,55.6,38.5,2.0,2.0,0.18,0.2,-0.3,-0.25,-0.26,44.5,32.6,40.8,65.7,52.3,60.0,38.9,74.98,82.48,78.55,63.92,94.52,98.55,78.45,58.37,92.18,82.64,63.84,75.56,87.73,67.98,59.17,40.82,3.6,51.858999999999995,11.1,6.625,65.5001,99.6273,99.5734,94.8399,0.0,100.0,3.0072099999999997,2.43201,6.53,0.757566,4.0,15.5162,98.09,99.8411,107.075,1.05939,2.52752,145.33100000000002,70.969,0.62712,93.3333,21.6054,346.075,61.725,2.2749099999999998,31.7228,72.13,431.522,7.38813,33.0,0.921213,3.7416099999999997,0.7293470000000001,4.7476,20.2,13.0,81.4,39.0,60.87409973144529,4.7,2.32623,2.094,2.705,0.3,13.0,20,20.0
ARM,31.5,25.7,0.755,4.29,51.7,25.8,8621.0,3.0,10.1,883.0,2.2,90.0,13.0,16.8,80.0,25.8,5.0,4.0,-0.71,-0.1,0.3,-0.16,-0.56,47.4,40.5,55.3,84.7,68.7,70.0,18.1,70.87,87.17,76.67,48.76,92.89,97.16,86.0,72.65,89.12,72.84,63.94,80.78,71.73,54.36,38.12,30.84,4.4,17.262999999999998,13.4,16.6,18.3993,98.9237,97.9341,91.5828,0.0,100.0,4.7801800000000005,17.4762,2.45,0.793656,3.0,8.78227,99.7444,92.3276,86.0376,1.05151,3.14088,117.428,67.0,0.52542,69.2857,20.4791,433.351,65.464,2.9011099999999996,55.6343,84.51,372.371,16.9991,15.0,0.690771,3.15917,0.684852,4.74544,42.0,8.0,41.5,35.0,4.85449981689453,5.8,1.20933,1.19426,3.24284,0.88,13.1,0,0.0
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7871,99.2316,98.6456,62.2329,,,,17.0383,,,,11.1212,,,,,,,,,,18.7186,,,,5.92168,,,17.0,,,,,,,,,,,,,,,,,0,0.0
